id,word_id,form_type,position,accented
126558,47030,verb_gerund_past,2,пустословивши
126559,47047,verb_gerund_present,1,пуша'
126560,47047,verb_gerund_past,1,пушив
126561,47047,verb_gerund_past,2,пушивши
126562,47063,verb_gerund_present,1,пылесо'ся
126563,47063,verb_gerund_past,1,пылесосив
126564,47063,verb_gerund_past,2,пылесосивши
126565,47102,verb_gerund_present,1,пятна'я
126566,47102,verb_gerund_past,1,пятнав
126567,47102,verb_gerund_past,2,пятнавши
126568,47109,verb_gerund_present,1,раболе'пствуя
126569,47109,verb_gerund_past,1,раболепствовавши
126570,47133,verb_gerund_present,1,раде'я
126571,47133,verb_gerund_past,1,радев
126572,47133,verb_gerund_past,2,радевши
126573,47207,verb_gerund_present,1,радиофицируя
126574,47207,verb_gerund_past,1,радиофицировав
126575,47207,verb_gerund_past,2,радиофицировавши
126576,47216,verb_gerund_past,1,раза'хавшись
126577,47218,verb_gerund_present,1,разбаза'ривая
126578,47218,verb_gerund_past,1,разбаза'ривав
126579,47218,verb_gerund_past,2,разбазаривавши
126580,47219,verb_gerund_present,1,разба'ливаясь
126581,47219,verb_gerund_past,1,разбаливавшись
126582,47220,verb_gerund_past,1,разбалова'вшись
126583,47221,verb_gerund_present,1,разба'лтывая
126584,47221,verb_gerund_past,1,разбалтывав
126585,47221,verb_gerund_past,2,разбалтывавши
126586,47222,verb_gerund_present,1,разба'лтываясь
126587,47222,verb_gerund_past,1,разбалтывавшись
126588,47224,verb_gerund_present,1,разбинто'вывая
126589,47224,verb_gerund_past,1,разбинтовывав
126590,47224,verb_gerund_past,2,разбинтовывавши
126591,47225,verb_gerund_present,1,разбо'йничая
126592,47225,verb_gerund_past,1,разбойничав
126593,47225,verb_gerund_past,2,разбойничавши
126594,47230,verb_gerund_past,1,разбрани'вшись
126595,47230,verb_gerund_past,2,разбраня'сь
126596,47235,verb_gerund_past,1,разбрюзжавшись
126597,47237,verb_gerund_present,1,разбуха'я
126598,47237,verb_gerund_past,1,разбухав
126599,47237,verb_gerund_past,2,разбухавши
126600,47238,verb_gerund_present,1,разва'ливая
126601,47238,verb_gerund_past,1,разваливав
126602,47238,verb_gerund_past,2,разваливавши
126603,47240,verb_gerund_present,1,разва'ривая
126604,47240,verb_gerund_past,1,разваривав
126605,47240,verb_gerund_past,2,разваривавши
126606,47241,verb_gerund_present,1,разва'риваясь
126607,47241,verb_gerund_past,1,разваривавшись
126608,47245,verb_gerund_present,1,разве'дывая
126609,47245,verb_gerund_past,1,разведывав
126610,47245,verb_gerund_past,2,разведывавши
126611,47246,verb_gerund_present,1,разве'ивая
126612,47246,verb_gerund_past,1,развеивав
126613,47246,verb_gerund_past,2,развеивавши
126614,47247,verb_gerund_present,1,разве'иваясь
126615,47247,verb_gerund_past,1,развеивавшись
126616,47249,verb_gerund_present,1,разве'нчивая
126617,47249,verb_gerund_past,1,развенчивав
126618,47249,verb_gerund_past,2,развенчивавши
126619,47250,verb_gerund_present,1,разверза'ясь
126620,47250,verb_gerund_past,1,разверзавшись
126621,47252,verb_gerund_present,1,развёрстывая
126622,47252,verb_gerund_past,1,развёрстывав
126623,47252,verb_gerund_past,2,развёрстывавши
126624,47258,verb_gerund_present,1,разветвля'я
126625,47258,verb_gerund_past,1,разветвляв
126626,47258,verb_gerund_past,2,разветвлявши
126627,47259,verb_gerund_present,1,разветвля'ясь
126628,47259,verb_gerund_past,1,разветвлявшись
126629,47264,verb_gerund_present,1,разви'нчивая
126630,47264,verb_gerund_past,1,развинчивав
126631,47264,verb_gerund_past,2,развинчивавши
126632,47269,verb_gerund_past,1,развозившись
126633,47271,verb_gerund_past,1,разволнова'в
126634,47271,verb_gerund_past,2,разволновавши
126635,47272,verb_gerund_present,1,разворо'вывая
126636,47272,verb_gerund_past,1,разворовывав
126637,47272,verb_gerund_past,2,разворовывавши
126638,47273,verb_gerund_past,1,разворча'вшись
126639,47277,verb_gerund_present,1,развра'тничая
126640,47277,verb_gerund_past,1,развратничав
126641,47277,verb_gerund_past,2,развратничавши
126642,47281,verb_gerund_present,1,развью'чивая
126643,47281,verb_gerund_past,1,развьючивав
126644,47281,verb_gerund_past,2,развьючивавши
126645,47282,verb_gerund_present,1,развя'зываясь
126646,47282,verb_gerund_past,1,развязывавшись
126647,47285,verb_gerund_present,1,разгла'живаясь
126648,47285,verb_gerund_past,1,разглаживавшись
126649,47288,verb_gerund_present,1,разгора'живая
126650,47288,verb_gerund_past,1,разгораживав
126651,47288,verb_gerund_past,2,разгораживавши
126652,47292,verb_gerund_present,1,разграни'чивая
126653,47292,verb_gerund_past,1,разграничивав
126654,47292,verb_gerund_past,2,разграничивавши
126655,47294,verb_gerund_present,1,разграфля'я
126656,47294,verb_gerund_past,1,разграфляв
126657,47294,verb_gerund_past,2,разграфлявши
126658,47295,verb_gerund_present,1,разгруппировывая
126659,47295,verb_gerund_past,1,разгруппировывав
126660,47295,verb_gerund_past,2,разгруппировывавши
126661,47296,verb_gerund_present,1,разгрыза'я
126662,47296,verb_gerund_past,1,разгрызав
126663,47296,verb_gerund_past,2,разгрызавши
126664,47297,verb_gerund_present,1,разгу'ливаясь
126665,47297,verb_gerund_past,1,разгуливавшись
126666,47300,verb_gerund_present,1,раздалбливая
126667,47300,verb_gerund_past,1,раздалбливав
126668,47300,verb_gerund_past,2,раздалбливавши
126669,47304,verb_gerund_present,1,раздва'ивая
126670,47304,verb_gerund_past,1,раздваивав
126671,47304,verb_gerund_past,2,раздваивавши
126672,47309,verb_gerund_present,1,разде'лываясь
126673,47309,verb_gerund_past,1,разделывавшись
126674,47311,verb_gerund_present,1,раздобывая
126675,47311,verb_gerund_past,1,раздобывав
126676,47311,verb_gerund_past,2,раздобывавши
126677,47315,verb_gerund_past,1,раздразни'в
126678,47315,verb_gerund_past,2,раздразнивши
126679,47315,verb_gerund_past,3,раздразня'
126680,47316,verb_gerund_present,1,раздраконивая
126681,47316,verb_gerund_past,1,раздраконивав
126682,47316,verb_gerund_past,2,раздраконивавши
126683,47319,verb_gerund_present,1,раздробля'я
126684,47319,verb_gerund_past,1,раздробляв
126685,47319,verb_gerund_past,2,раздроблявши
126686,47320,verb_gerund_present,1,раздробля'ясь
126687,47320,verb_gerund_past,1,раздроблявшись
126688,47322,verb_gerund_past,1,раздумавшись
126689,47323,verb_gerund_past,1,разжа'лобившись
126690,47327,verb_gerund_present,1,разжёвывая
126691,47327,verb_gerund_past,1,разжёвывав
126692,47327,verb_gerund_past,2,разжёвывавши
126693,47329,verb_gerund_present,1,разжига'ясь
126694,47329,verb_gerund_past,1,разжигавшись
126695,47330,verb_gerund_present,1,разжижа'я
126696,47330,verb_gerund_past,1,разжижав
126697,47330,verb_gerund_past,2,разжижавши
126698,47332,verb_gerund_present,1,раззадо'ривая
126699,47332,verb_gerund_past,1,раззадоривав
126700,47332,verb_gerund_past,2,раззадоривавши
126701,47333,verb_gerund_present,1,раззванивая
