word_id,incomparable,comparative,superlative,short_m,short_f,short_n,short_pl,decl_m_id,decl_f_id,decl_n_id,decl_pl_id
71340,,,,ярён,ярена,ярено,ярены,146231,146232,146233,146234
71341,,,,,,,,146235,146236,146237,146238
71342,,,,запорошён,запорошена,запорошено,запорошены,146239,146240,146241,146242
71343,,,,,,,,146243,146244,146245,146246
71344,,,,,,,,146247,146248,146249,146250
71345,,,,завариваем,завариваема,завариваемо,завариваемы,146251,146252,146253,146254
71346,,,,,,,,146255,146256,146257,146258
71347,,,,,,,,146259,146260,146261,146262
71348,,,,усыпляем,усыпляема,усыпляемо,усыпляемы,146263,146264,146265,146266
71349,,,,,,,,146267,146268,146269,146270
71350,,,,слопан,слопана,слопано,слопаны,146271,146272,146273,146274
71351,,,,,,,,146275,146276,146277,146278
71352,,,,,,,,146279,146280,146281,146282
71353,,,,перерастаем,перерастаема,перерастаемо,перерастаемы,146283,146284,146285,146286
71354,,,,,,,,146287,146288,146289,146290
71355,,,,подсажен,подсажена,подсажено,подсажены,146291,146292,146293,146294
71356,,,,,,,,146295,146296,146297,146298
71357,,,,,,,,146299,146300,146301,146302
71358,,,,,,,,146303,146304,146305,146306
71359,,,,переигран,переиграна,переиграно,переиграны,146307,146308,146309,146310
71360,,,,,,,,146311,146312,146313,146314
71361,,,,,,,,146315,146316,146317,146318
71362,,,,,,,,146319,146320,146321,146322
71363,,,,,,,,146323,146324,146325,146326
71364,,,,,,,,146327,146328,146329,146330
71365,,,,,,,,146331,146332,146333,146334
71366,,,,исцарапан,исцарапана,исцарапано,исцарапаны,146335,146336,146337,146338
71367,,,,,,,,146339,146340,146341,146342
71368,,,,,,,,146343,146344,146345,146346
71369,,,,,,,,146347,146348,146349,146350
71370,,,,,,,,146351,146352,146353,146354
71371,,,,,,,,146355,146356,146357,146358
71372,,,,,,,,146359,146360,146361,146362
71373,,,,,,,,146363,146364,146365,146366
71374,,,,переспан,переспана,переспано,переспаны,146367,146368,146369,146370
71375,,,,,,,,146371,146372,146373,146374
71376,,,,,,,,146375,146376,146377,146378
71377,,,,,,,,146379,146380,146381,146382
71378,,,,подчиняем,подчиняема,подчиняемо,подчиняемы,146383,146384,146385,146386
71379,,,,,,,,146387,146388,146389,146390
71380,,,,,,,,146391,146392,146393,146394
71381,,,,,,,,146395,146396,146397,146398
71382,,,,,,,,146399,146400,146401,146402
71383,,,,,,,,146403,146404,146405,146406
71384,,,,превозмогаем,превозмогаема,превозмогаемо,превозмогаемы,146407,146408,146409,146410
71385,,,,,,,,146411,146412,146413,146414
71386,,,,задымлён,задымлена,задымлено,задымлены,146415,146416,146417,146418
71387,,,,,,,,146419,146420,146421,146422
71388,,,,,,,,146423,146424,146425,146426
71389,,,,,,,,146427,146428,146429,146430
71390,,,,,,,,146431,146432,146433,146434
71391,,,,,,,,146435,146436,146437,146438
71392,,,,,,,,146439,146440,146441,146442
71393,,,,,,,,146443,146444,146445,146446
71394,,,,,,,,146447,146448,146449,146450
71395,,,,,,,,146451,146452,146453,146454
71396,,,,,,,,146455,146456,146457,146458
71397,,,,,,,,146459,146460,146461,146462
71398,,,,,,,,146463,146464,146465,146466
71399,,,,,,,,146467,146468,146469,146470
71400,,,,заслышан,заслышана,заслышано,заслышаны,146471,146472,146473,146474
71401,,,,,,,,146475,146476,146477,146478
71402,,,,съязвлён,съязвлена,съязвлено,съязвлены,146479,146480,146481,146482
71403,,,,,,,,146483,146484,146485,146486
71404,,,,растолкован,растолкована,растолковано,растолкованы,146487,146488,146489,146490
71405,,,,,,,,146491,146492,146493,146494
71406,,,,,,,,146495,146496,146497,146498
71407,,,,,,,,146499,146500,146501,146502
71408,,,,,,,,146503,146504,146505,146506
71409,,,,,,,,146507,146508,146509,146510
71410,,,,,,,,146511,146512,146513,146514
71411,,,,,,,,146515,146516,146517,146518
71412,,,,оплакиваем,оплакиваема,оплакиваемо,оплакиваемы,146519,146520,146521,146522
71413,,,,,,,,146523,146524,146525,146526
71414,,,,,,,,146527,146528,146529,146530
71415,,,,активизируем,активизируема,активизируемо,активизируемы,146531,146532,146533,146534
71416,,,,,,,,146535,146536,146537,146538
71417,,,,,,,,146539,146540,146541,146542
71418,,,,,,,,146543,146544,146545,146546
71419,,,,чмокаем,чмокаема,чмокаемо,чмокаемы,146547,146548,146549,146550
71420,,,,чмокан,чмокана,чмокано,чмоканы,146551,146552,146553,146554
71421,,,,,,,,146555,146556,146557,146558
71422,,,,,,,,146559,146560,146561,146562
71423,,,,,,,,146563,146564,146565,146566
71424,,,,,,,,146567,146568,146569,146570
71425,,,,тешим,тешима,тешимо,тешимы,146571,146572,146573,146574
71426,,,,тешен,тешена,тешено,тешены,146575,146576,146577,146578
71427,,,,,,,,146579,146580,146581,146582
71428,,,,,,,,146583,146584,146585,146586
71429,,,,,,,,146587,146588,146589,146590
71430,,,,,,,,146591,146592,146593,146594
71431,,,,,,,,146595,146596,146597,146598
